DRIVER_ID,DRIVER,DRIVER_CODE,CONSTRUCTOR_ID,CONSTRUCTOR,RACE_ID,RACE,YEAR,AVG_LAP_TIME,GAP_TO_FASTEST
836,Pascal Wehrlein,WEH,15,Sauber,983,Malaysian Grand Prix,2017,99457.036364,3.005429221000
845,Sergey Sirotkin,SIR,3,Williams,996,French Grand Prix,2018,105232.000000,3.130396226000
825,Kevin Magnussen,MAG,210,Haas F1 Team,997,Austrian Grand Prix,2018,70557.500000,1.317725352000
807,Nico Hülkenberg,HUL,4,Renault,997,Austrian Grand Prix,2018,71812.181818,2.572407170000
807,Nico Hülkenberg,HUL,4,Renault,998,British Grand Prix,2018,101500.076923,5.562576923000
839,Esteban Ocon,OCO,10,Force India,1002,Italian Grand Prix,2018,88155.566038,1.089830189000
4,Fernando Alonso,ALO,1,McLaren,1005,Japanese Grand Prix,2018,101560.346154,2.747855588000
838,Stoffel Vandoorne,VAN,1,McLaren,1007,Mexican Grand Prix,2018,86393.695652,3.233220242000
815,Sergio Pérez,PER,10,Force India,1008,Brazilian Grand Prix,2018,74826.942857,1.178125956000
817,Daniel Ricciardo,RIC,4,Renault,1011,Bahrain Grand Prix,2019,98801.547170,0.237283019000
154,Romain Grosjean,GRO,210,Haas F1 Team,1011,Bahrain Grand Prix,2019,103047.625000,4.483360849000
822,Valtteri Bottas,BOT,131,Mercedes,1013,Azerbaijan Grand Prix,2019,108096.901961,0.000000000000
840,Lance Stroll,STR,211,Racing Point,1015,Monaco Grand Prix,2019,81060.987013,1.465640859000
847,George Russell,RUS,3,Williams,1016,Canadian Grand Prix,2019,79408.705882,3.040963025000
848,Alexander Albon,ALB,9,Red Bull,1022,Belgian Grand Prix,2019,116068.977273,1.848295455000
825,Kevin Magnussen,MAG,210,Haas F1 Team,1025,Russian Grand Prix,2019,107033.415094,2.059184325000
841,Antonio Giovinazzi,GIO,51,Alfa Romeo,1029,Brazilian Grand Prix,2019,78941.957746,4.428644021000
154,Romain Grosjean,GRO,210,Haas F1 Team,1029,Brazilian Grand Prix,2019,78998.943662,4.485629937000
5,Heikki Kovalainen,KOV,205,Lotus,845,Spanish Grand Prix,2011,94524.541667,4.474526515000
39,Narain Karthikeyan,KAR,164,HRT,846,Monaco Grand Prix,2011,105871.945946,23.295664696000
30,Michael Schumacher,MSC,131,Mercedes,847,Canadian Grand Prix,2011,209910.800000,93.266514286000
817,Daniel Ricciardo,RIC,164,HRT,851,Hungarian Grand Prix,2011,97841.378788,6.379421645000
816,Jérôme d'Ambrosio,DAM,166,Virgin,858,Abu Dhabi Grand Prix,2011,113443.388889,7.409097980000
155,Kamui Kobayashi,KOB,15,Sauber,861,Malaysian Grand Prix,2012,194763.565217,61.048231884000
17,Mark Webber,WEB,9,Red Bull,863,Bahrain Grand Prix,2012,100873.298246,0.680491228000
815,Sergio Pérez,PER,15,Sauber,864,Spanish Grand Prix,2012,92849.702703,2.711142097000
13,Felipe Massa,MAS,6,Ferrari,865,Monaco Grand Prix,2012,81701.948718,0.079423077000
818,Jean-Éric Vergne,VER,5,Toro Rosso,868,British Grand Prix,2012,99319.250000,1.025250000000
10,Timo Glock,GLO,206,Marussia,869,German Grand Prix,2012,85615.265625,4.035235774000
811,Bruno Senna,SEN,3,Williams,871,Belgian Grand Prix,2012,123183.159091,1.625659091000
819,Charles Pic,PIC,206,Marussia,876,Indian Grand Prix,2012,94259.762712,3.080696045000
817,Daniel Ricciardo,RIC,5,Toro Rosso,877,Abu Dhabi Grand Prix,2012,116111.454545,0.985025974000
3,Nico Rosberg,ROS,131,Mercedes,890,Hungarian Grand Prix,2013,88828.906250,0.979691964000
818,Jean-Éric Vergne,VER,5,Toro Rosso,893,Singapore Grand Prix,2013,119125.311475,2.364746258000
824,Jules Bianchi,BIA,206,Marussia,893,Singapore Grand Prix,2013,119808.583333,3.048018116000
18,Jenson Button,BUT,1,McLaren,894,Korean Grand Prix,2013,113199.327273,3.011618940000
822,Valtteri Bottas,BOT,3,Williams,900,Australian Grand Prix,2014,98707.877193,0.835771930000
822,Valtteri Bottas,BOT,3,Williams,908,British Grand Prix,2014,170042.865385,0.579519231000
8,Kimi Räikkönen,RAI,6,Ferrari,913,Singapore Grand Prix,2014,121090.600000,1.010683333000
822,Valtteri Bottas,BOT,3,Williams,914,Japanese Grand Prix,2014,154927.136364,2.585750000000
17,Mark Webber,WEB,3,Williams,78,Canadian Grand Prix,2005,79786.700000,3.200305263000
30,Michael Schumacher,MSC,6,Ferrari,81,British Grand Prix,2005,85748.500000,1.255366667000
21,Giancarlo Fisichella,FIS,4,Renault,83,Hungarian Grand Prix,2005,85323.188406,1.815302692000
18,Jenson Button,BUT,16,BAR,84,Turkish Grand Prix,2005,88168.241379,0.677655172000
2,Nick Heidfeld,HEI,3,Williams,84,Turkish Grand Prix,2005,93118.931034,5.628344827000
23,Ralf Schumacher,SCH,7,Toyota,85,Italian Grand Prix,2005,85143.094340,0.828773585000
21,Giancarlo Fisichella,FIS,4,Renault,53,Bahrain Grand Prix,2006,100944.809524,6.449984963000
32,Christian Klien,KLI,9,Red Bull,54,Malaysian Grand Prix,2006,133359.961538,36.207657967000
33,Tiago Monteiro,TMO,13,MF1,55,Australian Grand Prix,2006,107273.564103,8.594626603000
34,Yuji Ide,IDE,8,Super Aguri,55,Australian Grand Prix,2006,106267.277778,7.588340278000
22,Rubens Barrichello,BAR,11,Honda,63,French Grand Prix,2006,81397.277778,2.428663492000
26,Scott Speed,SPE,5,Toro Rosso,65,Hungarian Grand Prix,2006,103223.560606,6.924403463000
33,Tiago Monteiro,TMO,14,Spyker MF1,69,Japanese Grand Prix,2006,98862.294118,4.292238562000
11,Takuma Sato,SAT,8,Super Aguri,69,Japanese Grand Prix,2006,98446.307692,3.876252136000
4,Fernando Alonso,ALO,1,McLaren,37,Malaysian Grand Prix,2007,98838.035714,0.000000000000
13,Felipe Massa,MAS,6,Ferrari,37,Malaysian Grand Prix,2007,99493.482143,0.655446429000
